season,origin,cancelled,is_core,colorway_sku,colorway_name,style_sku,style_name,source,vendor,brand,variant_count,missing_count,missing_fields,needs_variants,needs_price,needs_hs_code,needs_customs_desc,needs_weight,needs_fibre,needs_country_of_origin,needs_manufacturer,src_price,src_hs_code,src_customs_desc,src_weight,src_fibre,src_origin,src_manufacturer,fully_recoverable,unrecoverable_fields,cin7_attribute3
CONTINUITY,NEW,,1,LIV-KVN-GRY,Kevin Grey,LIV-KVN-GRY,Kevin Grey,CIN7_IMPORT,Livid Men,Livid,5,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - Knitted 100% wiil
CONTINUITY,NEW,,,EXT-HB-YZU,Yuzu 10 Minutes Aroma,EXT-HB-YZU,Yuzu 10 Minutes Aroma,CIN7_IMPORT,Hibi,Hibi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Aggerbatti
CONTINUITY,NEW,,,LIV-CSSDY-NVY,Cassidy Navy,LIV-CSSDY-NVY,Cassidy Navy,CIN7_IMPORT,Livid Men,Livid,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,EXT-PB-ADN-CF,Adonis Lisse Cafe,EXT-PB-ADN-CF,Adonis Lisse Cafe,CIN7_IMPORT,Paraboot,Paraboot,5,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,EXT-RTTO-CROS-NVG,Coarse Ribbed Oldschool Crew Navy Blue-Turquoise,EXT-RTTO-CROS-NVG,Coarse Ribbed Oldschool Crew Navy Blue-Turquoise,CIN7_IMPORT,Rototo,Rototo,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Socks - 100% wool
CONTINUITY,NEW,,,EXT-KNT-ACT-CLR,Active Bottle 600 mL Clear,EXT-KNT-ACT-CLR,Active Bottle 600 mL Clear,CIN7_IMPORT,Kinto,Kinto,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,NONE,NONE,,NONE,,NONE,NO,HS code; customs desc; fibre; manufacturer,
CONTINUITY,NEW,,,EXT-HB-STRK,Seto tray Round Kiseto,EXT-HB-STRK,Seto tray Round Kiseto,CIN7_IMPORT,Hibi,Hibi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Aggerbatti
CONTINUITY,NEW,,,EXT-PB-LCT-CLSZ,Laces Clusaz Original Brown/Ecru,EXT-PB-LCT-CLSZ,Laces Clusaz Original Brown/Ecru,CIN7_IMPORT,Paraboot,Paraboot,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,VIN-LTRH,Leather Jacket,VIN-LTRH,Leather Jacket,CIN7_IMPORT,Vintage,Vintage,1,5,HS code; customs desc; fibre; origin; manufacturer,,,1,1,,1,1,1,,CIN7,CIN7,,CIN7,NONE,NONE,NO,origin; manufacturer,Men jacket - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-9342,70's Wool Varsity jacket (XL),VN-ONLN-9342,70's Wool Varsity jacket (XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
