issue,system,sku,barcode,product,detail,origio_kind,origio_seasons
DUPLICATE_BARCODE,cin7,CHIMI-Yellow-09,7340192604864,"09 Yellow, OS",shares barcode with CHIMI-Yellow-09	 ,,
DUPLICATE_BARCODE,cin7,CHIMI-Yellow-09	 ,7340192604864,"09 Yellow, OS",shares barcode with CHIMI-Yellow-09,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-10,3606620124385,"Barth Lisse America, 10",shares barcode with EXT-PB-BARTH-Homme-10,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-10.5,3606620124392,"Barth Lisse America, 10.5",shares barcode with EXT-PB-BARTH-Homme-10.5,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-11,3606620124408,"Barth Lisse America, 11",shares barcode with EXT-PB-BARTH-Homme-11,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-11.5,3606620124415,"Barth Lisse America, 11.5",shares barcode with EXT-PB-BARTH-Homme-11.5,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-12,3606620124422,"Barth Lisse America, 12",shares barcode with EXT-PB-BARTH-Homme-12,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-6,3606620124309,"Barth Lisse America, 6",shares barcode with EXT-PB-BARTH-Homme-6,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-6.5,3606620124316,"Barth Lisse America, 6.5",shares barcode with EXT-PB-BARTH-Homme-6.5,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-7,3606620124323,"Barth Lisse America, 7",shares barcode with EXT-PB-BARTH-Homme-7,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-7.5,3606620124330,"Barth Lisse America, 7.5",shares barcode with EXT-PB-BARTH-Homme-7.5,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-8,3606620124347,"Barth Lisse America, 8",shares barcode with EXT-PB-BARTH-Homme-8,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-8.5,3606620124354,"Barth Lisse America, 8.5",shares barcode with EXT-PB-BARTH-Homme-8.5,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-9,3606620124361,"Barth Lisse America, 9",shares barcode with EXT-PB-BARTH-Homme-9,,
DUPLICATE_BARCODE,cin7,EEXT-PB-BRTH-AM-9.5,3606620124378,"Barth Lisse America, 9.5",shares barcode with EXT-PB-BARTH-Homme-9.5,,
DUPLICATE_BARCODE,cin7,EXT-29-12.5,0811379030327,Piñon 12.5 Oz Candle OneSize,shares barcode with EXT-PF-PIN125-OS,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BKST-BST-HR-42,4044477046518,Boston Mink Suede 42,shares barcode with EXT-BKST-BST-MNKSD-42,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BKST-BST-MNKSD-42,4044477046518,"Boston Mink Suede, 42",shares barcode with EXT-BKST-BST-HR-42,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-36,4067707128587,"Naples Wrapped Suede Taupe BG, 36",shares barcode with EXT-BS-NPL-TP-36,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-37,4067707129522,"Naples Wrapped Suede Taupe BG, 37",shares barcode with EXT-BS-NPL-TP-37,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-38,4067707129560,"Naples Wrapped Suede Taupe BG, 38",shares barcode with EXT-BS-NPL-TP-38,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-39,4067707129607,"Naples Wrapped Suede Taupe BG, 39",shares barcode with EXT-BS-NPL-TP-39,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-40,4067707129645,"Naples Wrapped Suede Taupe BG, 40",shares barcode with EXT-BS-NPL-TP-40,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-41,4067707122516,"Naples Wrapped Suede Taupe BG, 41",shares barcode with EXT-BS-NPL-TP-41,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-42,4067707122554,"Naples Wrapped Suede Taupe BG, 42",shares barcode with EXT-BS-NPL-TP-42,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-43,4067707122592,"Naples Wrapped Suede Taupe BG, 43",shares barcode with EXT-BS-NPL-TP-43,,
DUPLICATE_BARCODE,cin7,EXT-BKST-NPLS-WRPPD-SD-TP-BG-44,4067707122639,"Naples Wrapped Suede Taupe BG, 44",shares barcode with EXT-BS-NPL-TP-44,,
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-36,4067707128587,"Naples Wrapped Suede Taupe, 36",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-36,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-37,4067707129522,"Naples Wrapped Suede Taupe, 37",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-37,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-38,4067707129560,"Naples Wrapped Suede Taupe, 38",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-38,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-39,4067707129607,"Naples Wrapped Suede Taupe, 39",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-39,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-40,4067707129645,"Naples Wrapped Suede Taupe, 40",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-40,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-41,4067707122516,"Naples Wrapped Suede Taupe, 41",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-41,,
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-42,4067707122554,"Naples Wrapped Suede Taupe, 42",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-42,,
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-43,4067707122592,"Naples Wrapped Suede Taupe, 43",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-43,,
DUPLICATE_BARCODE,cin7,EXT-BS-NPL-TP-44,4067707122639,"Naples Wrapped Suede Taupe, 44",shares barcode with EXT-BKST-NPLS-WRPPD-SD-TP-BG-44,,
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OF-6,7332904122438,"Emilia Offwhite/Natural grey, 6",shares barcode with EXT-HST-EML-OFGR-6,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OF-7,7332904122445,"Emilia Offwhite/Natural grey, 7",shares barcode with EXT-HST-EML-OFGR-7,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OF-8,7332904122452,"Emilia Offwhite/Natural grey, 8",shares barcode with EXT-HST-EML-OFGR-8,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OFGR-6,7332904122438,Emilia Offwhite/Natural grey 6,shares barcode with EXT-HST-EML-OF-6,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OFGR-7,7332904122445,Emilia Offwhite/Natural grey 7,shares barcode with EXT-HST-EML-OF-7,,
DUPLICATE_BARCODE,cin7,EXT-HST-EML-OFGR-8,7332904122452,Emilia Offwhite/Natural grey 8,shares barcode with EXT-HST-EML-OF-8,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-MGN-BK-6,7332540895468,"Megan Black, 6",shares barcode with EXT-HSTR-megan-6-6,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HST-MGN-BK-8,7332540836515,"Megan Black, 8",shares barcode with EXT-HSTR-megan-8-8,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HSTR-megan-6-6,7332540895468,Megan Black 6,shares barcode with EXT-HST-MGN-BK-6,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-HSTR-megan-8-8,7332540836515,Megan Black 8,shares barcode with EXT-HST-MGN-BK-8,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-KEEN-JAS-BB-40,0195208040573,Jasper Black/Black 40,shares barcode with EXT-KEEN-JAS-BB-40.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-KEEN-JAS-BB-40.5,0195208040573,Jasper Black/Black 40.5,shares barcode with EXT-KEEN-JAS-BB-40,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-NOV-GAT-BLK-41,8585052170441,"GAT Black / Transparent, 41",shares barcode with EXT-NOV-GAT-WHT-41,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-NOV-GAT-WHT-41,8585052170441,"GAT White / Transparent, 41",shares barcode with EXT-NOV-GAT-BLK-41,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-10,3606620124385,BARTH/MARINE MARRON-AMERICA 10,shares barcode with EEXT-PB-BRTH-AM-10,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-10.5,3606620124392,BARTH/MARINE MARRON-AMERICA 10.5,shares barcode with EEXT-PB-BRTH-AM-10.5,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-11,3606620124408,BARTH/MARINE MARRON-AMERICA 11,shares barcode with EEXT-PB-BRTH-AM-11,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-11.5,3606620124415,BARTH/MARINE MARRON-AMERICA 11.5,shares barcode with EEXT-PB-BRTH-AM-11.5,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-12,3606620124422,BARTH/MARINE MARRON-AMERICA 12,shares barcode with EEXT-PB-BRTH-AM-12,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-6,3606620124309,BARTH/MARINE MARRON-AMERICA 6,shares barcode with EEXT-PB-BRTH-AM-6,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-6.5,3606620124316,BARTH/MARINE MARRON-AMERICA 6.5,shares barcode with EEXT-PB-BRTH-AM-6.5,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-7,3606620124323,BARTH/MARINE MARRON-AMERICA 7,shares barcode with EEXT-PB-BRTH-AM-7,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-7.5,3606620124330,BARTH/MARINE MARRON-AMERICA 7.5,shares barcode with EEXT-PB-BRTH-AM-7.5,,
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-8,3606620124347,BARTH/MARINE MARRON-AMERICA 8,shares barcode with EEXT-PB-BRTH-AM-8,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-8.5,3606620124354,BARTH/MARINE MARRON-AMERICA 8.5,shares barcode with EEXT-PB-BRTH-AM-8.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-9,3606620124361,BARTH/MARINE MARRON-AMERICA 9,shares barcode with EEXT-PB-BRTH-AM-9,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PB-BARTH-Homme-9.5,3606620124378,BARTH/MARINE MARRON-AMERICA 9.5,shares barcode with EEXT-PB-BRTH-AM-9.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PF-21-12.5,0811379030297,O. 21 Golden Coast 12.5 Oz,shares barcode with EXT-PF-GLC125-OS,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PF-4-INCN,0855111006676,Teakwood and Tobacco Incense,shares barcode with EXT-PF-4-INCN-OS,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PF-4-INCN-OS,0855111006676,"Teakwood and Tobacco Incense, OS",shares barcode with EXT-PF-4-INCN,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PF-GLC125-OS,0811379030297,Golden Coast 12.5 Oz Candle OS,shares barcode with EXT-PF-21-12.5,,
DUPLICATE_BARCODE,cin7,EXT-PF-PIN125-OS,0811379030327,Piñon 12.5 Oz Candle - feil sku OS,shares barcode with EXT-29-12.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PNT-YS1025-01-L,0884597528464,Thornham Navy L,shares barcode with EXT-PNT-YS1025NV-L,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PNT-YS1025-01-M,0884597528457,Thornham Navy M,shares barcode with EXT-PNT-YS1025NV-M,,
DUPLICATE_BARCODE,cin7,EXT-PNT-YS1025NV-L,0884597528464,"Thornham FW25 Navy Fleck, L",shares barcode with EXT-PNT-YS1025-01-L,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PNT-YS1025NV-M,0884597528457,"Thornham FW25 Navy Fleck, M",shares barcode with EXT-PNT-YS1025-01-M,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PR-AVR-VLGR-7.5,3606621489698,"Avoriaz Velours Graphite, 7.5",shares barcode with EXT-PR-AVR-VLGR-9.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-PR-AVR-VLGR-9.5,3606621489698,"Avoriaz Velours Graphite, 9.5",shares barcode with EXT-PR-AVR-VLGR-7.5,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-RTTO-VRTCL-STRP-SCKS-RYL-BL-M,4582746159205,"Vertical Stripe Socks Royal Blue, M",shares barcode with EXT-RTTO-VRTCL-STRP-SCKS-RYL-BL-S,,
DUPLICATE_BARCODE,cin7,EXT-RTTO-VRTCL-STRP-SCKS-RYL-BL-S,4582746159205,"Vertical Stripe Socks Royal Blue, S",shares barcode with EXT-RTTO-VRTCL-STRP-SCKS-RYL-BL-M,MERCHANDISE,CONTINUITY
DUPLICATE_BARCODE,cin7,EXT-SP-SPLO-OKE-150ml,3324010610002,Oké Reshaping Stretcher Spray Onesize,shares barcode with EXT-SP-SPLO-OKE-50ml,,
DUPLICATE_BARCODE,cin7,EXT-SP-SPLO-OKE-50ml,3324010610002,Oké Reshaping Stretcher Spray -50 ml,shares barcode with EXT-SP-SPLO-OKE-150ml,,
DUPLICATE_BARCODE,cin7,LIV-JNE-TRSR-HP-BG-2732,7072536025621,"Jone Japan Beige Trousers, 2732",shares barcode with LIV-JNE-TRSR-HP-BG-W27-L32,,
DUPLICATE_BARCODE,cin7,LIV-JNE-TRSR-HP-BG-2832,7072536025638,"Jone Japan Beige Trousers, 2832",shares barcode with LIV-JNE-TRSR-HP-BG-W28-L32,,
